title,photographer,description,date,date_approximate,subject (lcsh),subject,location,latitude,longitude,source,identifier,rights,rights (standardized),type,format,language,moscow number,fs number,filename,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
"An overmature stand 225 years old in Benton Creek Bottom, consisting of western white pine, western larch, western red cedar, and hemlock","Rockwell, Frank I.","From Rockwell's report of 1912 describing the establishment of Priest River Experimental Station.  No registration #; first of four photos; title plate reads: ""The western white pine type at the Priest River Experiment Station.  An overmature stand 225 years old in Benton Creek Bottom, consisting of western white pine, western larch, western red cedar, and hemlock.""",1911,,United States--Idaho--Bonner County--Priest Creek Experimental Station,,Bonner County;Priest Creek Experimental Station,48.35166667,-116.8277778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1912_Establishment_Rockwell_Photo_1,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,545,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/0,0,1.jp2,/expforsav/image/1.jp2,expforsav0
"Priest River Experimental Station, March 1917","Larsen, J. A.","Priest River Experimental Station, March 1917.",1917-03-01,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1917cottages_winter,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1277,35901A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/1,1,10.jp2,/expforsav/image/10.jp2,expforsav1
"Benton Meadow site, south side of meadow","Brewster, D.R.","Plate 5 caption: ""General view of Nursery showing Seed and Transplant Beds."" Plate 6 caption: ""Closer view of Nursery showing Seed Beds and Hardwood Seedlings."" This is the Benton Meadow site, south side of meadow, beside what is now road 597A.",1913,,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Meadow,,Bonner County;Priest River Experimental Forest;Benton Meadow,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1913_P3,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,570,15802A & 15801A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/2,2,100.jp2,/expforsav/image/100.jp2,expforsav2
Shows growth during two seasons on good white pine land on level bench near river,"Brewster, D.R.","Plate 7 caption: ""Black Locust ten feet tall, planted as a 2-year seedling 24 inches long, in the spring of 1912.  Shows growth during two seasons on good white pine land on level bench near river.""",1913,,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Meadow,,Bonner County;Priest River Experimental Forest;Benton Meadow,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1913_P4,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,571,18070A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/3,3,101.jp2,/expforsav/image/101.jp2,expforsav3
Seedlings on Natural and Burned Surfaces,"Brewster, D.R.","Plate 8 caption: ""Study of Seedlings Growing on Dry Southwest Slope (Mr-1) Contrast between Burned Surface and Natural Vegetation."" Plate 9 caption: ""Sandy Larch Flat; Seedlings on Natural and Burned Surfaces.""",1913,,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,Bonner County;Priest Creek Experimental Forest,48.35527778,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1913_P5,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,572,18068A & 18069A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/4,4,102.jp2,/expforsav/image/102.jp2,expforsav4
Laboratory Building and Cottages 1 and 2,"Brewster, D.R.","20234A: ""Laboratory Building, Newly Painted in 1914."" 20230A: ""Dwelling Cottages."" Otherwise known as Cottages 1 and 2.",1914,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P33,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,573,20234A & 20230A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/5,5,103.jp2,/expforsav/image/103.jp2,expforsav5
"Barn,and hay shed on right.","Brewster, D.R.",Part of Experiment Station Forest,1914,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P34,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,574,20231A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/6,6,104.jp2,/expforsav/image/104.jp2,expforsav6
Meadow Nursery and Benton Nursery,"Brewster, D.R.","20232A: ""Meadow Nursery; Conifer Seed Beds and Rows of Hardwoods."" 20245A: ""Benton Nursery; Conifer Transplants Showing New Form of Stakes.""",1914,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Nursery,,Bonner County;Priest River Experimental Forest;Benton Nursery,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P35,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,575,20232A & 20245A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/7,7,105.jp2,/expforsav/image/105.jp2,expforsav7
Timber clearing near buildings,"Brewster, D.R.","20232A: ""Four-acre field of oats; yellow pine type slope in background."" 20235A: ""Timber clearing near buildings; to be sown to grass and clover.""",1914,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P36,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,576,20232A & 20235A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/8,8,106.jp2,/expforsav/image/106.jp2,expforsav8
Unthinned White Pine-Larch Stand & Severely Thinned plot,"Brewster, D.R.","20237A: ""Typical Unthinned White Pine-Larch Stand; 1100 Trees per Acre."" 20241A: ""Severely Thinned plot; 316 left per acre; Note the overhead light.""",1914,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,Bonner County;Priest Creek Experimental Forest,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P37,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,577,20237A & 20241A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/9,9,107.jp2,/expforsav/image/107.jp2,expforsav9
