tagnumber,font-size,z-index,orange,blue,green,purple,gray,yellow,red
0,0.8em,10,#ED760E,#1D1E33,#015D52,#6D3F5B,#78858B,#999950,#B32821
1,0.8em,9,#C93C20,#18171C,#84C3BE,#922B3E,#8A9597,#F3DA0B,#E63244
2,1.2em,8,#CB2821,#1E2460,#2C5545,#DE4C8A,#7E7B52,#FAD201,#D53032
3,1.4em,7,#FF7514,#3E5F8A,#20603D,#641C34,#6C7059,#AEA04B,#CC0605
4,1.7em,6,#F44611,#26252D,#317F43,#6C4675,#969992,#FFFF00,#D95030
5,2.0em,5,#FF2301,#025669,#497E76,#A03472,#646B63,#9D9101,#F80000
6,2.4em,4,#FFA420,#0E294B,#7FB5B5,#4A192C,#6D6552,#F4A900,#FE0000
7,2.7em,3,#F75E25,#231A24,#1C542D,#924E7D,#6A5F31,#D6AE01,#C51D34
8,3em,2,#F54021,#3B83BD,#193737,#A18594,#4D5645,#F3A505,#CB3234
9,3.3em,1,#D84B20,#1E213D,#008F39,#CF3476,#4C514A,#EFA94A,#B32428
10,3.6em,0,#EC7C26,#606E8C,#00BB2D,#8673A1,#434B4D,#F39F18,#721422
