objectid,title,date,issue,order,subject,description,creator,publisher,contributors,type,format,identifier,source,language,rights,rightsstatement,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path
hwhi_1998_fall,Here We Have Idaho: Fall 1998,1998,Fall,199804,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_1998_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/67,67,79.pdf,/hwhi/image/79.pdf
hwhi_2003_winter,Here We Have Idaho: Winter 2003,2003,Winter,200301,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2003_winter,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/62,62,48.pdf,/hwhi/image/48.pdf
hwhi_2003_spring,Here We Have Idaho: Spring 2003,2003,Spring,200302,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2003_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/93,93,53.pdf,/hwhi/image/53.pdf
hwhi_2003_fall,Here We Have Idaho: Fall 2003,2003,Fall,200304,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2003_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/91,91,75.pdf,/hwhi/image/75.pdf
hwhi_2004_winter,Here We Have Idaho: Winter 2004,2004,Winter,200401,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2004_winter,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/92,92,49.pdf,/hwhi/image/49.pdf
hwhi_2004_spring,Here We Have Idaho: Spring 2004,2004,Spring,200402,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2004_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/49,49,90.pdf,/hwhi/image/90.pdf
hwhi_2004_fall,Here We Have Idaho: Fall 2004,2004,Fall,200404,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2004_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/75,75,60.pdf,/hwhi/image/60.pdf
hwhi_2005_winter,Here We Have Idaho: Winter 2005,2005,Winter,200501,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2005_winter,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/60,60,93.pdf,/hwhi/image/93.pdf
hwhi_2005_spring,Here We Have Idaho: Spring 2005,2005,Spring,200502,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2005_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/87,87,83.pdf,/hwhi/image/83.pdf
hwhi_2005_fall,Here We Have Idaho: Fall 2005,2005,Fall,200504,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2005_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/68,68,88.pdf,/hwhi/image/88.pdf
