title,date,date is approximate,performers,instruments,special-guests,adjudicators,description,creator,interviewee,location,digital collection,contributing institution,source,identifier,filename,rights,rightsstatement,format original,type,format,language,reference url,cdmid,CONTENTdm file name,CONTENTdm file path,objectid,youtubeid
34th Annual Lionel Hampton Jazz Festival Poster [1],2001,,"Hampton, Lionel; Jones, Hank; Hamilton, Jeff; McBride, Christian; Malone, Russell; Wilson, Nancy; D'Rivera, Paquito; Roditi, Claudio; Bromberg, Brian; Boiarsky, Andres; Mikami, Kuni; Watson, Wally ""Gator""; Fabian, Christian (aka Fabian Bausch); Shilkloper, Arkady; Vintskevich, Leonid; Saarsalu, Lembit; Jarvis, Jane; Mahogany, Kevin; Russell Malone Quartet; Wonsey, Anthony; Goods, Richie; Strickland, E.J.; White, Evelyn; Wagner, Walt; Stowell, John; Contreras, Billy; Roy Hargrove Quintet; Hargrove, Roy; Irby, Sherman; Willis, Larry; Cannon, Gerald; Jones, Willie, III; Ray Brown Trio; Brown, Ray; Keezer, Geoff; Riggens, Karriem; Lovano, Joe; Daniels, Dee; Butman, Igor; Five Play; Maricle, Sherrie; Strassmayer, Karoline; Cohen, Anat; Parrott, Nikki; Yamanaka, Chihiro; Monheit, Jane; Ponomarev, Valery; Martinez, Jim; Rawls, Lou; Terry, Clark; Golson, Benny; Watrous, Bill; Fontana, Carl; Powell, Benny; Grey, Mike; Gamborini, Roberta; Candoli, Pete; Candoli, Conte; Cook, Carla; Stigers, Curtis; Krall, Diana; Ennis, Ethel",vocals; trumpet; trombone; saxophone; piano; violin; guitar; drums; bass; flute; horn; vibes,"Deffaa, Chip (critic);Elwood, Phil (critic);Wicks, Virginia (publicist); de Barros, Paul (columnist)",,"20""x36"" promotional poster",Jazz Festival Office,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf2001,lhijf2001.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/0,0,37.jp2,/jazzfest/image/37.jp2,jazzfest0,
50th Annual Lionel Hampton Jazz Festival Poster [2],2017,,"Roditit, Claudio; Marie, René; Harris, Stefon; Cohen, Anat; Cumbly, Joshua; Gully, Terreon ""Tank""; Eigst, Taylor; Doubleday, Joseph; Peikli, Felix; Kocour, Mike; Hamar, Jon; Hobbs, Gary; Christiansen, Corey; New York Voices; Keefe, Julia; Marsalis, Jason; Spalding, Esperanza",bass; vocals; vibes; vocals; guitar; drums; piano; clarinet; saxophone; trumpet,,,"18""x24"" limited edition poster, number 119/150","Hooper, Ward P.",,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf2017b,lhijf2017b.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/1,1,19.jp2,/jazzfest/image/19.jp2,jazzfest1,
15th Annual University of Idaho Jazz Festival Poster [2],1982,,"Childers, Buddy; Fitzgerald, Ella; McClure, Barney; Shaw, Kirby; Stentz, Jan; George Shearing and Brian Torff Duo",trumpet; vocals; piano; bass,,,"17""x11"" promotional poster",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf1982b,lhijf1982b.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/2,2,17.jp2,/jazzfest/image/17.jp2,jazzfest2,
51st Annual Lionel Hampton Jazz Festival Poster,2018,,"Stafford, Terell; Nancy Wilson and Cannonball Adderly Tribute; Hart, Antonio; Thomas, Brianna; Joey DeFrancesco + the People; DeFrancesco, Joey; Lionel Hampton Jazz Festival Big Band; Marsalis, Jason; Darby, Tanya; Skinner, Kate",piano; vocals; trumpet; vibes; keyboards; alto saxophone,,,"18""x24"" limited edition poster, number 133/150","Hooper, Ward P.",,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf2018,lhijf2018.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/3,3,46.jp2,/jazzfest/image/46.jp2,jazzfest3,
41st Annual Lionel Hampton International Jazz Festival Poster [1],2008,,"Weinstein, Aaron; Hamilton, Jeff; Washington, Peter; Charlap, Bill; Dechter, Graham; Gordon, Wycliffe; Polcer, Ed; Person, Houston; Dr. John; Hashimoto, Atsuko; Holloway, Red; Daniels, Dee; Gazarek, Sara; Fuller, Curtis; Porter, Ryan; Jones, Hank; Clayton, Gerald; Eigsti, Taylor; Hutcherson, Bobby; Wolf, Warren; Hendricks, Jon; Vasandani, Sachal; Fuller, Tia; Kelly, Grace; Carter, Regina; Gambarini, Roberta; Hendelman, Tamir; Hargrove, Roy; The Clayton-Hamilton Jazz Orchestra; Lionel Hampton Big Band; Mahogany, Kevin; Morfin, Isaiah; Mikami, Kuni; Fabian, Christian (Fabian Bausch); Watson, Wally ""Gator""; Open World Russian Jazz All Stars; Chernakova, Darya; Ivanov, Aleksandr; Sidorenko, Nikolay; Sokolov, Roman",saxophone; piano; drums; bass; vocals; flute; vibes; marimba; organ; trumpet; trombone; guitar; violin,,,"17.5""x21.5"" limited edition poster, 54/150","Mosley, Eugene",,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf2008a,lhijf2008a.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/4,4,25.jp2,/jazzfest/image/25.jp2,jazzfest4,
44th Annual Lionel Hampton Jazz Festival Poster [4],2011,,"Wade, Charenee; Nelson, Josh; Kanner, Kevin; Conley, Shawn; Dechter, Graham; Heath, Jimmy; Stafford, Terell; Hashimoto, Atsuko; Hamilton, Jeff; Yanofsky, Nikki; Charlap, Bill; Rosnes, Renee; Wooten, Victor; Manhattan Transfer; Lionel Hampton New York Big Band; Bradford, Carmen; Shaughnessy, Ed; Christlieb, Pete; Clayton, John",bass; saxophone; drums; vocals; guitar; piano; organ; trumpet,,,"9""x18"" promotional poster",Jazz Festival Office,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf2011d,lhijf2011d.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/5,5,35.jp2,/jazzfest/image/35.jp2,jazzfest5,
44th Annual Lionel Hampton Jazz Festival Poster [3],2011,,"Wade, Charenee; Nelson, Josh; Kanner, Kevin; Conley, Shawn; Dechter, Graham; Heath, Jimmy; Stafford, Terell; Hashimoto, Atsuko; Hamilton, Jeff; Yanofsky, Nikki; Charlap, Bill; Rosnes, Renee; Wooten, Victor; Manhattan Transfer; Lionel Hampton New York Big Band; Bradford, Carmen; Shaughnessy, Ed; Christlieb, Pete; Clayton, John",bass; saxophone; drums; vocals; guitar; piano; organ; trumpet,,,"12""x24"" limited edition poster, signed by John Clayton",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf2011c,lhijf2011c.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/6,6,6.jp2,/jazzfest/image/6.jp2,jazzfest6,
28th Annual Lionel Hampton Jazz Festival Poster [1],1995,,"Lionel Hampton Trio; Hampton, Lionel; Mikami, Kuni; Wallace, Walter; Grice, Brian; Brown, Ray; Sandoval, Arturo; Jones, Hank; Ellis, Herb; Durham, Bobby; Bromberg, Brian; Shank, Bud; Roditi, Claudio; Jarvis, Jane; Matsui, Keiko; Matsui, Kazu; Clayton, John; Robert, George; Moroni, Edgardo ""Dado""; Margolis, Kitty; Daniels, Dee; Mussolini, Romano; Klein, Oscar; Reeves, Dianne; Torkanowsky, David; Penland, Ralph; Severin, Chris; Shearing, George; Swainson, Neil; Rubin, Vanessa; Wonsey, Anthony; McPartland, Marian; Cuber, Ronnie; Bryant, Lance; King, Nancy; Hendricks, John; Chicco, Renato; Golson, Benny; Farmer, Art; Roney, Wallace; Gene Harris Quartet; Harris, Gene; Eschete, Ron; Humphrey, Paul; Hughes, Luther; Grey, Al; Watrous, Bill; Grey, Mike; Rawls, Lou; Ray Brown Trio; Brown, Ray; Hamilton, Jeff; Green, Benny",piano; drums; bass; vocals; trombone; trumpet; saxophone; tenor saxophone; bariton saxophone; guitar; harmonica; clarinet; shakuhachi; alto saxophone; vibes,"Wicks, Virginia (publicist);Deffaa, Chip (critic);Gitler, Ira (critic);Bach, Jean (film maker/jazz historian);",,"20""x36"" promotional poster",Jazz Festival Office,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf1995,lhijf1995.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/7,7,18.jp2,/jazzfest/image/18.jp2,jazzfest7,
25th Annual Lionel Hampton-Chevron Jazz Festival Poster [1],1992,,"Lionel Hampton and Quartet; Hampton, Lionel; Mikami, Kuni; Watson, Wally ""Gator""; Machado, Gabriel; Dorsey, Leon; Paquito D'Rivera and the Havana-New York Ensemble; D'Rivera, Paquito; Perez, Danilo; Roditi, Claudio; Rossy, Jorge; Finck, David; Bromberg, Brian; Matsui, Keiko; Matsui, Kazu; Saarsalu, Lembit; Vintskevich, Leonid; Capers, Lisa; Foley, Kim; Wynters, Gail; Hampton, Lionel; Jarreau, Al; Mann, Herbie; Ellis, Herb; Roy Hargrove Quintet; Hargrove, Roy; Hart, Antonio; Cary, Marc; Hutchinson, Greg; Whitaker, Rodney; Jones, Oliver; Young, David; Thigpen, Ed; Daniels, Dee; Aoki, Reiko; Bathé, Clare; Mulligan, Gerry; Faddis, Jon; Ray Brown Trio; Brown, Ray; Harris, Gene; Hamilton, Jeff; Grey, Al; Watrous, Bill; Whigham, Jiggs; Grey, Mike; Lundy, Carmen; Feather, Leonard",vocals; trombone; trumpet; baritone saxophone; drums; bass; alto saxophone; guitar; flute; vibes; shakuhachi; conga; clarinet,"Feather, Leonard (critic); Eastwood, Clint;",,"16""x25.5"" promotional poster",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf1992,lhijf1992.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/8,8,34.jp2,/jazzfest/image/34.jp2,jazzfest8,
43rd Annual Lionel Hampton International Jazz Festival Poster [2],2010,,"Brown, Justin; Chahley, Brian; Clayton, Gerald; Dechter, Graham; Green, Tim; Hoffman, Alex; Kanner, Kevin; Nelson, Josh; Porter, Ryan; Sanders, Joe; Willis, Ben; Clayton, Jeff; Calvaire, Obed; Fuller, Larry; Pizzarelli, Bucky; Pizzarelli, John; Pizzarelli, Martin; Stafford, Terell; Tedesco, Tony; Clayton, John; Chestnut, Cyrus; Daniels, Dee; Mahal, Taj; Hamilton, Scott; Morrison, James; Peplowski, Ken; Redd, Chuck",drums; vibes; clarinet; trumpet; saxophone; guitar; vocals; piano; bass; trombone,,,"17""x24.5"" promotional poster",Jaz Festival Office,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf2010b,lhijf2010b.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/9,9,55.jp2,/jazzfest/image/55.jp2,jazzfest9,
