title,creator,publisher,date,date is approximate,description,subject,collection,contributing institution,publisher digital,source,listing code,identifier,format original,type,format,digitization specifications,rights,rightsstatement,language,metadata cataloger,metadata assistants,scanner technician,scanner assistants,collection administrator,filename,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
"Drummer Bill Harty, trombonist Glenn Miller, unknown saxophonist, and bandleader Ray Noble",,,1935,y,"3 x 4 3/4 inch photograph; four men. Handwritten on the back of the photograph: Bill Handy, Glen Miller, unknown, Ray Noble","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31",IJC002IV,LF.IV.0314,Black & white photograph,Image;StillImage,image/jpg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239265,2008-07-22,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/61,61,62.jpg,/lfc/image/62.jpg,lfc61
Larry Marable,,,1970,y,5 x 7 inch photograph; Larry Marable playing the drums,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31",IJC002IV,LF.IV.0315,Black & white photograph,Image;StillImage,image/jpg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239663,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/62,62,63.jpg,/lfc/image/63.jpg,lfc62
Jay McShann,,,1979,,7x 5 inch photograph; Jay McShann playing the piano. Typewritten on the back of the photograph:  Jay McShann at 1979 jazz party,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31",IJC002IV,LF.IV.0316,Black & white photograph,Image;StillImage,image/jpg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239855,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/63,63,64.jpg,/lfc/image/64.jpg,lfc63
Glenn Miller Orchestra,,,1940,y,6 1/4 x 8 inch photograph; Glenn Miller Orchestra. Handwritten on the back of the photograph: B. Woodruf,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31",IJC002IV,LF.IV.0317,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240234,2008-07-22,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/64,64,65.jpg,/lfc/image/65.jpg,lfc64
The Glenn Miller band,,,1941,,"7 1/2 x 10 inch photograph; a band. Label on the back of the photograph reads: The Glenn Miller band, 1941; Ray Anthony and Billy May in trumpet section; Tex Beneke and Hal McIntyre in sax section (all later led bands of their own)","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31",IJC002IV,LF.IV.0318,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239247,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/65,65,66.jpg,/lfc/image/66.jpg,lfc65
Rob McConnell,,,1965,y,10 x 8 inch photograph; Rob McConnell playing the trombone. Also a close-up of the same photograph,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31",IJC002IV,LF.IV.0319,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239669,2008-07-22,2014-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/66,66,67.jpg,/lfc/image/67.jpg,lfc66
Romano Mussolini and Nunzio Rotondo,,,1965,y,5 x 5 inch photograph; Romano Mussolini playing the piano and Nunzio Rotondo playing the trumpet,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 32",IJC002IV,LF.IV.0320,Black & white photograph,Image;StillImage,image/jpg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239851,2008-07-22,2014-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/67,67,68.jpg,/lfc/image/68.jpg,lfc67
"Woody Herman, June Christy, Nat King Cole, Mel Torme, and Jimmy Lyons at the KNBC studio",,,1949-09-23,,"5 x 7 inch photograph; Woody Herman, June Christy, Nat King Cole, Mel Torme, and Jimmy Lyons at the KNBC studio. 1949-09-23","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 32",IJC002IV,LF.IV.0321,Black & white photograph,Image;StillImage,image/jpg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239852,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/68,68,69.jpg,/lfc/image/69.jpg,lfc68
Phil Moore,"… A. Free…, New York",,1950,y,5 x 5 inch photograph; Phil Moore,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 32",IJC002IV,LF.IV.0322,Black & white photograph,Image;StillImage,image/jpg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239681,2008-07-22,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/69,69,70.jpg,/lfc/image/70.jpg,lfc69
Matrix,,,1975,y,5 x 7 inch photograph; Matrix (jazz group) performing,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 32",IJC002IV,LF.IV.0323,Black & white photograph,Image;StillImage,image/jpg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239854,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/70,70,71.jpg,/lfc/image/71.jpg,lfc70
