title,description,creator,date,date is approximate?,scientific name,subject,subject (lcsh),subject (lctgm),location,location (lcsh),region,collection,source,identifier,digital identifier,rights,rightsstatement,format original,type,format,date digital,digitization specifications,scanner technician,metadata cataloger,metadata assistants,collection administrator,filename,latitude,longitude,oclc number,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,objectid
217 North Polk Street [1],"House on 217 North Polk Street. Moscow, Idaho","Laughlin, Kyle (1905-1984)",1948-07,,,buildings (structures),"Idaho--Buildings, structures, etc.--Photographs;; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Houses--Idaho--Moscow;,Idaho;Latah County;Moscow,United States--Idaho--Latah County--Moscow,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","MG99, Box 04, Sheet 814, Negative 99-814-001",99-814-001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",Tisa Madson,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,46.734812,-116.994123,669840477,2009-10-14,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1287,1287,1288.jpg,/spec_kl/image/1288.jpg,spec_kl1287
217 North Polk Street [2],"House on 217 North Polk Street. Moscow, Idaho","Laughlin, Kyle (1905-1984)",1948-07,,,buildings (structures),"Idaho--Buildings, structures, etc.--Photographs;; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Houses--Idaho--Moscow;,Idaho;Latah County;Moscow,United States--Idaho--Latah County--Moscow,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","MG99, Box 04, Sheet 814, Negative 99-814-003",99-814-003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",Tisa Madson,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,46.734812,-116.994123,669842559,2009-10-14,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1288,1288,1289.jpg,/spec_kl/image/1289.jpg,spec_kl1288
"A Frosty Morn. University of Idaho, Administration Building","Administration Building. Labeled ""A frosty morn"".  University of Idaho","Laughlin, Kyle (1905-1984)",1948,,,fire hydrants;administration buildings;snow (precipitation),"University of Idaho  -- Buildings -- Photographs; Idaho--Buildings, structures, etc.--Photographs;; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",,Idaho;Latah County;Moscow,United States--Idaho--Latah County--Moscow,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","MG99, Box 04, Sheet 813, Negative 99-813-004",99-813-004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",Tisa Madson,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,46.725664,-117.010918,669842381,2009-10-14,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1286,1286,1287.jpg,/spec_kl/image/1287.jpg,spec_kl1286
"Acoma Village (N.M.), 1961 [1]",View of Acoma Village in New Mexico.,"Laughlin, Kyle (1905-1984)",1961,,,mesas,"Laughlin, Kyle E., 1905-1984;",Mesas--New Mexico;,New Mexico;Cibola County,United States--New Mexico--Cibola County,Acoma Village,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 300, Negative 99-300-006",99-300-006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,34.896346,-107.582459,669840444,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1073,1073,1074.jpg,/spec_kl/image/1074.jpg,spec_kl1073
"Acoma Village (N.M.), 1961 [2]",View of Acoma Village in New Mexico.,"Laughlin, Kyle (1905-1984)",1961,,,pueblos (settlements),"Laughlin, Kyle E., 1905-1984;",Pueblos--New Mexico--Acoma;,New Mexico;Cibola County,United States--New Mexico--Cibola County,Acoma Village,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 300, Negative 99-300-007",99-300-007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,34.896346,-107.582459,669840533,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1074,1074,1075.jpg,/spec_kl/image/1075.jpg,spec_kl1074
"Acoma Village (N.M.), 1961 [3]",View of Acoma Village in New Mexico.,"Laughlin, Kyle (1905-1984)",1961,,,pueblos (settlements),"Laughlin, Kyle E., 1905-1984;",Pueblos--New Mexico--Acoma;,New Mexico;Cibola County,United States--New Mexico--Cibola County,Acoma Village,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 300, Negative 99-300-008",99-300-008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,34.896346,-107.582459,669842626,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1075,1075,1076.jpg,/spec_kl/image/1076.jpg,spec_kl1075
"Acoma Village (N.M.), graveyard and church, 1961","View of Acoma Village, graveyard and church at Acoma in New Mexico.","Laughlin, Kyle (1905-1984)",1961,,,graveyards;churches;pueblos (settlements),"Laughlin, Kyle E., 1905-1984;",Pueblos--New Mexico--Acoma;,New Mexico;Cibola County,United States--New Mexico--Cibola County,Acoma Village,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 300, Negative 99-300-005",99-300-005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,34.896346,-107.582459,669840425,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1072,1072,1073.jpg,/spec_kl/image/1073.jpg,spec_kl1072
"Alpowa Creek (Wash.), 1944","Aerial view of mouth of Alpowa Creek; Camera settings: 1/125, F:8, G filter","Laughlin, Kyle (1905-1984)",1944-08-27,,,aerial photography;canyons,"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;  Aerial photography -- Washington (State); Rivers -- Washington (State);",,Washington;Asotin County,United States--Washington--Asotin County,Silcott Island,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet G-001, Slide 99-G-001-004",99-G-001-004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,46.4209922,-117.2040535,669838554,2009-05-26,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/660,660,1030.jpg,/spec_kl/image/1030.jpg,spec_kl660
"American Falls (Idaho), 1960 [1]",Aerial view of American Falls,"Laughlin, Kyle (1905-1984)",1960-10-29,,,aerial photography;cities;rivers;dams,"Laughlin, Kyle E., 1905-1984; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs; Aerial photography -- Idaho;",Cities & towns--Idaho; Rivers; Dams--Idaho--American falls;,Idaho;Power County,United States--Idaho--Power County,American Falls,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 294, Negative 99-294-001",99-294-001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,42.786023,-112.854438,669842637,2009-06-11,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1047,1047,1048.jpg,/spec_kl/image/1048.jpg,spec_kl1047
"American Falls (Idaho), 1960 [2]",Aerial view of American Falls,"Laughlin, Kyle (1905-1984)",1960-10-29,,,aerial photography;cities;rivers;dams,"Laughlin, Kyle E., 1905-1984; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs; Aerial photography -- Idaho;",Cities & towns--Idaho; Rivers; Dams--Idaho--American falls;,Idaho;Power County,United States--Idaho--Power County,American Falls,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 294, Negative 99-294-002",99-294-002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,42.786023,-112.854438,669842955,2009-06-11,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1048,1048,1049.jpg,/spec_kl/image/1049.jpg,spec_kl1048
