objectid,filename,headline,title,creator,description,date,date is approximate?,subject,location,digital collection,source,identifier,digital_source,format original,format,type,rights,rights (standardized),language
spanishflu005,MG170_3.jpg,The Red Cross,The Red Cross,"Thomas, Esther E. ","After the outbreak of World War I and subsequently the influenza pandemic the American Red Cross mobilized thousands of individuals. In Moscow, to combat the war the Red Cross did everything they could from knitting socks to preparing bandages to be sent to soldiers. When the influenza pandemic came to the area they served as nurses, made flu masks and prepared meals for patients. Esther Thomas was a member of the American Red Cross beginning in 1917 by 1918 she served as a nurse at the university for patients of the influenza.",1918-10,yes,Red Cross; nurses; World War I; spanish influenza,United States--Idaho--Latah County--Moscow,,"MG 170, Esther E. Thomas. Scrapbook, 1915-1919, University of Idaho Library Special Collections and Archives",MG170_3,,Scrapbook,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu001,PG90_8-1-84_11.jpg,Inland Hospital,Inland Hospital Postcard,"Ott, Clifford M.","In 1918, while Dr. Carithers was drafted to serve during World War I, he allowed Inland Hospital to be used for patients of the pandemic from the university's Student Army Training Corps (SATC) while he was away. Inland Hospital served as the headquarters for SATC patients. The most severe cases would be sent to Gritman Memorial Hospital, while mild cases were sent to one of the auxiliary hospitals for recovery. ",1918-10,yes,hospitals; moscow; buildings; spanish influenza,United States--Idaho--Latah County--Moscow,,"PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives",PG90_8-1-84_11,,Negative,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu002,PG40_WOR1.jpg,Armistice Day,"""Angels of Mercy"" ",,In the midst of the pandemic a peace agreement was reached ending World War I. Though quarantine was still in effect people in town and on the university still celebrated Armistice Day with a parade. ,1918-11-11,yes,Red Cross; Armistice Day; parades; moscow,United States--Idaho--Latah County--Moscow,,"PG 40, University of Idaho Alumni Association Photographs, University of Idaho Library Special Collections and Archives",PG 40_WOR1,,Photograph,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu007,MG202_1.jpg,Auxiliary Hospitals,Alpha Kappa Epsilon House,"Thomas, Esther E. ",Several houses and buildings in town were converted to auxiliary hospitals for influenza patients. The Alpha Kappa Epsilon house was converted into an auxiliary hospital for patients with mild symptoms of the influenza. The Elks Club House was also used for recovering patients. ,1918-10,yes,Spanish Influenza; hospitals; fraternities; houses,United States--Idaho--Latah County--Moscow,,"MG 202, Esther E. Thomas. Scrapbook, 1918-1925, University of Idaho Library Special Collections and Archives",MG202_1,,Scrapbook,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu011,UG12_526_03.jpg,Fighting the Flu,"""How To Strengthen Our Personal Defense Against Spanish Influenza"" ","Richard, Charles","The university received a list of actions people could take to defend against the spread of the influenza from the Surgeon General. These actions include many that would be suggested today, such as avoiding crowds and covering coughs. Some other suggestions included: chewing your food well and avoiding tight clothes to ""make nature your ally not your prisoner.""",1918-09-27,,Spanish Influenza; US Army; War Department; Student Army Training Corps; SATC; disease; illness; contagion; defense,United States--District of Columbia,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_03,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu020,UG12_526_12.jpg,SATC Deaths Due to Influenza,List of Men Who Died While In SATC,,By the time the influenza had run its course the Student Army Training Corps (SATC) had approximately 200 cases with twelve deaths. ,1918-12,yes,University of Idaho; deaths; SATC; Student Army Training Corps; men; spanish influenza; list,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_12,,Report,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu037,PG3_0021e.jpg,President Ernest H. Lindley,President Ernest H. Lindley,,"Lindley served as President of the University of Idaho from 1917 to 1920. Beginning his presidency the same year the United States entered World War I, Lindley dealt with a loss of male students to the military, the establishment of the Student Army Training Corps on campus, and the outbreak of the Spanish Influenza. ",1918-07,yes,University of Idaho; administration; portraits; photograph; university; presidents; spanish influenza; world war I,United States--Idaho--Latah County--Moscow,,"PG 3, University of Idaho Portrait Collection, University of Idaho Library Special Collections and Archives",PG3_0021e,,Photograph,image/jpg,image;stillimage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
spanishflu038,PG67_14.jpg,Gritman Memorial Hospital,Gritman Hospital,,The most severe cases from the university were sent to Gritman Hospital for care. ,1918-10,yes,Moscow; hospitals; spanish influenza; disease; epidemic; pandemic; illness; sickness; contagion; Idaho; doctors; patients,United States--Idaho--Latah County--Moscow,,"PG 67, Photographs of Moscow, Idaho, undated, University of Idaho Library Special Collections and Archives",PG67_14,,Photograph,image/jpg,image;stillimage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
spanishflu039,arg1918_10_19p1.png,The University Closes,U. Temporarily Closed Three Mild Cases of Flu - Page 1,University Argonaut,Upon the arrival of members of the Student Army Training Corps (SATC) it was discovered that three showed mild symptoms of the influenza. In response the university closed temporarily in order to prevent the spread of the disease. ,1918-10-19,,University of Idaho; closures; spanish influenza; disease; epidemic; pandemic; illness; preventative measures; S.A.T.C.; Student Army Training Corps; cases,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_19p1,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1208/filename/ARG-1918-10-19.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu048,arg1918_10_30p1e.png,Flu Masks,Everybody Must Wear Flu Masks - Page 1,University Argonaut,The government issues an order at the end of October that all patients infected with the influenza were required to wear masks to prevent spreading the disease. Living groups on campus and members of the Red Cross worked to make these masks for the men. ,1918-10-30,,Co-eds; girls; women; sororities; Red Cross; S.A.T.C.; Student Army Training Corps; hospitals; government; spanish influenza; disease; illness; pandemic; epidemic; masks; face masks,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_30p1e,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1209/filename/ARG-1918-10-30.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
