page,title,headline,text,mediacredit,coordinates,morethan1,pick,cdmid,format,imagedate,objectid,identifier,location,architect,date,date-range,costs,costnotes,description,additions,usehistory,namehistory,standing,standingnotes,sources,marker,search,
AdministrationBuilding(New).html,Administration Building (New),"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/AdministrationBuilding(New).html"">Administration Building (New)</a>","<strong>Dates:</strong> 1907-<br /><strong>Cost:</strong> $415,716<br /><strong>Architect: </strong> Main Wing - John E. Tourtellotte (Boise), North Wing - Preusse and Zittel (Spokane)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02204.html"">52-16</a>","46.725634,-117.010974",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/1300/full/pct:70/0/default.jpg,1300,image/jpeg,1923,campus02204,52-16,Center of main quadrangle facing east 851 Campus Drive,"Main Wing - John E. Tourtellotte (Boise), North Wing - Preusse and Zittel (Spokane)",1907,1907-,"415,716","Unit 1, $140,000; unit 2, $75,000; unit 3, $90,000 state appropriations; unit 4 $110,769 funded by student fees","Concrete base, red brick facing with buff colored Boise sandstone trim, college Gothic style, three stories, U shaped, 109,824 square feet. Listed on National Register of Historic Places.","Built in four units, the original (1909), North wing (1912), South wing (1920) extended 1936 for library expansion $110,000. Annex constructed 1950. 1960 remodeling after library construction $115,168; Elevator tower added ca. 2000","Administrative offices, Letters &amp; Science/Business classrooms, University computer center, auditorium, also housed the library until 1957",,Standing Building,,"Cards, UG 44, Morton, Beacon, UG 12 (2304), IHS 134, Facilities Architecture Drawing Archives",wht_diamond,"Administration Building (New) | 46.725634,-117.010974 | Center of main quadrangle facing east 851 Campus Drive | Main Wing - John E. Tourtellotte (Boise), North Wing - Preusse and Zittel (Spokane) | 1907- | Begun in 1907, first unit completed 1909 | 415716 | Unit 1, $140,000; unit 2, $75,000; unit 3, $90,000 state appropriations; unit 4 $110,769 funded by student fees | Concrete base, red brick facing with buff colored Boise sandstone trim, college Gothic style, three stories, U shaped, 109,824 square feet. Listed on National Register of Historic Places. | Built in four units, the original (1909), North wing (1912), South wing (1920) extended 1936 for library expansion $110,000. Annex constructed 1950. 1960 remodeling after library construction $115,168; Elevator tower added ca. 2000 | Administrative offices, Letters &amp; Science/Business classrooms, University computer center, auditorium, also housed the library until 1957 |  |",
AdministrationBuilding(Old).html,Administration Building (Old),"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/AdministrationBuilding(Old).html"">Administration Building (Old)</a>","<strong>Dates:</strong> 1891-1906<br /><strong>Cost:</strong> $131,068<br /><strong>Architect: </strong> G.W. Babcock (Walla Walla)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02131.html"">51-41</a>","46.724869,-117.010698",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/1265/full/pct:70/0/default.jpg,1265,image/jpeg,1903,campus02131,51-41,"On site of present administration building, facing N.E. instead of due east",G.W. Babcock (Walla Walla),1891,1891-1906,"131,068",,"Four stories, red brick, 180' x 122', central portion and two wings, 163' tower.",East wing completed in 1899; auditorium and third floor completed 1900; west wing completed in 1902,Administrative offices and classroom building,,,"Destroyed by fire March 30, 1906","Cards, UG 44, Beacon, Petersen, Facilities Architecture Drawing Archives",wht_diamond,"Administration Building (Old) | 46.724869,-117.010698 | On site of present administration building, facing N.E. instead of due east | G.W. Babcock (Walla Walla) | 1891-1906 | West wing completed in 1892 | 131068 |  | Four stories, red brick, 180' x 122', central portion and two wings, 163' tower. | East wing completed in 1899; auditorium and third floor completed 1900; west wing completed in 1902 | Administrative offices and classroom building |  | Destroyed by fire March 30, 1906",
AgriculturalEngineeringBuilding(JWMartin).html,Agricultural Engineering Building (JW Martin),"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/AgriculturalEngineeringBuilding(JWMartin).html"">Agricultural Engineering Building (JW Martin)</a>","<strong>Dates:</strong> 1982-<br /><strong>Cost:</strong> $1,800,000<br /><strong>Architect: </strong> Team 8 Consortium (Coeur d'Alene)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus03112.html"">3130</a>","46.729575, -117.020474",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/3130/full/pct:70/0/default.jpg,3130,image/jpeg,2013-11-12,campus03112,3130,6th street and Perimeter Drive,Team 8 Consortium (Coeur d'Alene),1982,1982-,"1,800,000",$1.8 million (State and University each provided half),"one floor, tilt-up concrete; long and narrow; 400 feet long, 30,000 square feet; some ceilings as high as 18 feet",,Ag engineering classrooms and labs,,Standing Building,,"Morton, Argonaut",wht_diamond,"Agricultural Engineering Building (JW Martin) | 46.729575, -117.020474 | 6th street and Perimeter Drive | Team 8 Consortium (Coeur d'Alene) | 1982- | Occupied 1983 | 1800000 | $1.8 million (State and University each provided half) | one floor, tilt-up concrete; long and narrow; 400 feet long, 30,000 square feet; some ceilings as high as 18 feet |  | Ag engineering classrooms and labs |  |",
AgriculturalEngineeringLaboratory.html,Agricultural Engineering Laboratory,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/AgriculturalEngineeringLaboratory.html"">Agricultural Engineering Laboratory</a>","<strong>Dates:</strong> 1909-1998<br /><strong>Cost:</strong> $80,857<br /><strong>Architect: </strong> Unknown","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus03025.html"">96-1</a>","46.727089, -117.011889",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/60/full/pct:70/0/default.jpg,60,image/jpeg,1924,campus03025,96-1,NW corner University Avenue and Line Street,Unknown,1909,1909-1998,"80,857","$12,000 for shell; $68,857 for 1952 interior construction","Brick, with basement and two floors, 15,330 square feet",Renovated in 1950-1951. Became Art and Architecture Annex in 1986 upon completion of new Agricultural Engineering Building; demolished 1998 for Idaho Commons,Originally constructed as heating plant; When new heating plant was constructed in 1927 it became maintenance shop; in 1949 maintenance shops were moved and the building was renovated for Agricultural Engineering Laboratory in 1950 and 1951,Agricultural Engineering Laboratory 1951-1986; Art and Architecture Annex 1986-1998,,Demolished 1998 for Idaho Commons,"Cards, UG 44, Morton, UG 12 Bx 80 File 2276",wht_diamond,"Agricultural Engineering Laboratory | 46.727089, -117.011889 | NW corner University Avenue and Line Street | Unknown | 1909-1998 |  | 80857 | $12,000 for shell; $68,857 for 1952 interior construction | Brick, with basement and two floors, 15,330 square feet | Renovated in 1950-1951. Became Art and Architecture Annex in 1986 upon completion of new Agricultural Engineering Building; demolished 1998 for Idaho Commons | Originally constructed as heating plant; When new heating plant was constructed in 1927 it became maintenance shop; in 1949 maintenance shops were moved and the building was renovated for Agricultural Engineering Laboratory in 1950 and 1951 | Agricultural Engineering Laboratory 1951-1986; Art and Architecture Annex 1986-1998 | Demolished 1998 for Idaho Commons",
AgriculturalScienceBuilding.html,Agricultural Science Building,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/AgriculturalScienceBuilding.html"">Agricultural Science Building</a>","<strong>Dates:</strong> 1950-<br /><strong>Cost:</strong> $774,573<br /><strong>Architect: </strong> Victor N. Jones (Boise)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00120.html"">111-08a</a>","46.728996, -117.013879",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/311/full/pct:70/0/default.jpg,311,image/jpeg,1952,campus00120,111-08a,Rayburn Avenue between Idaho Avenue and Sixth Street 606 Rayburn St,Victor N. Jones (Boise),1950,1950-,"774,573",,"Reinforced concrete, brick veneer, basement and three floors, 169' x 52', flat roof, 54,443 square feet","1971. 57,000 sq. ft. addition at a cost of $1,967,000, Bellamy, Bratvold &amp; Carpenter (Coeur d'Alene) architects.","Classrooms, teaching labs; research labs; faculty and administrative offices","Iddings Agricultural Science Building named for E.J. Iddings, Dean of Agricultural Sciences 1915-1946",Standing Building,,"Cards, UG 44, Morton, Facilities Architecture Drawing Archives",wht_diamond,"Agricultural Science Building | 46.728996, -117.013879 | Rayburn Avenue between Idaho Avenue and Sixth Street 606 Rayburn St | Victor N. Jones (Boise) | 1950- |  | 774573 |  | Reinforced concrete, brick veneer, basement and three floors, 169' x 52', flat roof, 54,443 square feet | 1971. 57,000 sq. ft. addition at a cost of $1,967,000, Bellamy, Bratvold &amp; Carpenter (Coeur d'Alene) architects. | Classrooms, teaching labs; research labs; faculty and administrative offices | Iddings Agricultural Science Building named for E.J. Iddings, Dean of Agricultural Sciences 1915-1946 |",
AgricultureBiotechnologyBuildingandLaboratory.html,Agriculture Biotechnology Building and Laboratory,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/AgricultureBiotechnologyBuildingandLaboratory.html"">Agriculture Biotechnology Building and Laboratory</a>","<strong>Dates:</strong> 2000-<br /><strong>Cost:</strong> $24,500,000<br /><strong>Architect: </strong> Ellis-Feeney Architects of Lewiston and SRG Architects (Portland)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus03116.html"">3134</a>","46.729457,-117.013962",no,https://digital.lib.uidaho.edu/digital/iiif/pg1/3134/full/pct:70/0/default.jpg,3134,image/jpeg,2013-11-12,campus03116,3134,Rayburn and 6th street,Ellis-Feeney Architects of Lewiston and SRG Architects (Portland),2000,2000-,"24,500,000",$24.5 Million,"Three Floor,45.000-Squar-foot Brick Building",,"80 Percent of the Building House Molecular-based Research Programs involving Plants, Livestock and Microorganisms,20 Percent of the Building Consist Faculty Offices,Conference Rooms and Interaction Space.",,Standing Building,,Register,wht_diamond,"Agriculture Biotechnology Building and Laboratory | 46.729457,-117.013962 | Rayburn and 6th street | Ellis-Feeney Architects of Lewiston and SRG Architects (Portland) | 2000- | Dedicated 2000 | 24500000 | $24.5 Million | Three Floor,45.000-Squar-foot Brick Building |  | 80 Percent of the Building House Molecular-based Research Programs involving Plants, Livestock and Microorganisms,20 Percent of the Building Consist Faculty Offices,Conference Rooms and Interaction Space. |  |",
AlbertsonBuilding.html,Albertson Building,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/AlbertsonBuilding.html"">Albertson Building</a>","<strong>Dates:</strong> 2002-<br /><br /><strong>Architect: </strong> Design West Architects, Gordon Walker, Architect; Yost Grube Hall Architecture; Swank Enterprises, General Contractor","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus03115.html"">3133</a>","46.725636,-117.011821",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/3133/full/pct:70/0/default.jpg,3133,image/jpeg,2013-11-12,campus03115,3133,West side of Administration building 875 Campus Drive,"Design West Architects, Gordon Walker, Architect; Yost Grube Hall Architecture; Swank Enterprises, General Contractor",2002,2002-,,,,,"Remodeled and enlarged Administration Annex (1950; Whitehouse, Price, DeNeff, Architects (Spokane); Reinforced concrete and brick facing; 134' x 66', two floors and basement, flat roof; 25,254 square feet; $343,360; Administrative offices; controller, registrar, admissions) to house College of Business and Economics first building to be funded entirely by private gifts; contains full-service deli and campus bookstore",,Standing Building,,"Facilities Website, Dedication Plaques and Stones Images",wht_diamond,"Albertson Building | 46.725636,-117.011821 | West side of Administration building 875 Campus Drive | Design West Architects, Gordon Walker, Architect; Yost Grube Hall Architecture; Swank Enterprises, General Contractor | 2002- |  |  |  |  |  | Remodeled and enlarged Administration Annex (1950; Whitehouse, Price, DeNeff, Architects (Spokane); Reinforced concrete and brick facing; 134' x 66', two floors and basement, flat roof; 25,254 square feet; $343,360; Administrative offices; controller, registrar, admissions) to house College of Business and Economics first building to be funded entirely by private gifts; contains full-service deli and campus bookstore |  |",
Armory(Old).html,Armory (Old),"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/Armory(Old).html"">Armory (Old)</a>",<strong>Dates:</strong> 1896-1903<br /><br /><strong>Architect: </strong> Unknown,"<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02323.html"">55-1</a>","46.7251,-117.013071",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/1449/full/pct:70/0/default.jpg,1449,image/jpeg,1896,campus02323,55-1,About 100' behind the old Administration Building,Unknown,1896,1896-1903,,,"Wooden building, about 50' x 125', one story and basement in front, two stories in rear",,Also housed agriculture department and gymnasium,Also known as The Annex,,No Longer Standing,"Cards, Petersen",wht_diamond,"Armory (Old) | 46.7251,-117.013071 | About 100' behind the old Administration Building | Unknown | 1896-1903 |  |  |  | Wooden building, about 50' x 125', one story and basement in front, two stories in rear |  | Also housed agriculture department and gymnasium | Also known as The Annex | No Longer Standing",
ArtandArchitectureBuilding.html,Art and Architecture Building,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/ArtandArchitectureBuilding.html"">Art and Architecture Building</a>","<strong>Dates:</strong> 1906-<br /><strong>Cost:</strong> $138,168<br /><strong>Architect: </strong> Unknown","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00096.html"">107-6</a>","46.727408, -117.011371",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/251/full/pct:70/0/default.jpg,251,image/jpeg,1910,campus00096,107-6,Pine near University Ave.,Unknown,1906,1906-,"138,168","$16,000 originally; $122,168 for renovation (state appropriation)","Wood frame with red pressed brick veneer walls, three stories, gable roof with cedar shingles. 84' x 96'. Originally built as a large scale concentrator",Renovated and completely remodelled by adding three floors to the center of the building in 1949-1950; Elevator tower added 1998,"Originally a metallurgical laboratory used for student work and metallurgical research. Became Mines building in 1950. Ca. 1961 became Psychology Building housing classrooms, offices and laboratories. Art &amp; Architecture ca. 2001",Metallurgical Building; Mines Building; Psychology Building; Art and Architecture,Standing Building,,"Cards, UG 44, Morton, UG 12 (2315)",wht_diamond,"Art and Architecture Building | 46.727408, -117.011371 | Pine near University Ave. | Unknown | 1906- |  | 138168 | $16,000 originally; $122,168 for renovation (state appropriation) | Wood frame with red pressed brick veneer walls, three stories, gable roof with cedar shingles. 84' x 96'. Originally built as a large scale concentrator | Renovated and completely remodelled by adding three floors to the center of the building in 1949-1950; Elevator tower added 1998 | Originally a metallurgical laboratory used for student work and metallurgical research. Became Mines building in 1950. Ca. 1961 became Psychology Building housing classrooms, offices and laboratories. Art &amp; Architecture ca. 2001 | Metallurgical Building; Mines Building; Psychology Building; Art and Architecture |",
ArtandArchitectureEast.html,Art and Architecture East,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/ArtandArchitectureEast.html"">Art and Architecture East</a>",<strong>Dates:</strong> 2000-<br /><br /><strong>Architect: </strong> Renovated for classrooms by UI Department of Buildings and Grounds,"<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus03113.html"">3131</a>","46.727132, -117.00395",no,https://digital.lib.uidaho.edu/digital/iiif/pg1/3131/full/pct:70/0/default.jpg,3131,image/jpeg,2013-11-12,campus03113,3131,College Avenue 327 College Ave,Renovated for classrooms by UI Department of Buildings and Grounds,2000,2000-,,,Former Carpet Mill building,,,,Standing Building,,Facilities Architecture Drawing Archives,wht_diamond,"Art and Architecture East | 46.727132, -117.00395 | College Avenue 327 College Ave | Renovated for classrooms by UI Department of Buildings and Grounds | 2000- |  |  |  | Former Carpet Mill building |  |  |  |",
