title,publisher,editor,date,volume,number,month,year,pages,description,newspapers,authors,donor,subject,location,latitude,longitude,identifier,format original,type,format,rights,rightsstatement,language,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Transitions, vol. 3, August 1990; Time for a little Forest Perestroika",Inland Empire Public Lands Council,"Osborn, John",1990-08,3,,August,1990,24,"Osborn, John--Time for a little Forest Perestroika; Devlin, Sherry--Ten years too late, Expert says spotted-owl crisis could have been avoided--Missoulian, 1990-6-23(Missoula, MT); Lawmakers try end run to free up timber supply--Lewiston Tribune, 1990-6-21(Lewiston, ID); Landers, Rich--Gorton rallies lead to unrest, not solutions--Spokane Chronicle, 1990-6-5(Spokane, WA); Gorton, Bush shouldn't raise false hopes in owl controversy--Valley Dailey News, 1990-6-29(Auburn, WA); Timber job losses exaggerated, activists say--Lewiston Tribune, 1990-5-6(Lewiston, ID); Sonner, Scott--Owl job-loss data called inflated--The Spokesman Review, 1990-7-11(Spokane, WA); Facts, cool heads essential to debate--The Olympian, 1990-7-12(Olympia, WA); Real timber-job loss is surely bad enough--Seattle Times, 1990-7-11(Seattle, WA); Malloy, Chuck--Power play, Timber road turnaround shows where McClure gets his strength--The Post-Register, 1989-10-8(Idaho Falls, ID); RRB--Piling on pork--The Post-Register, 1989-10-8(Idaho Falls, ID); Swisher, Larry--Forest Service chief finds himself like a dry snag in a lightning storm--Lewiston Tribune, 1990-7-23(Lewiston, ID); The Forest Service, Time for a little perestroika--The Economist, 1990-3-10(London, England)",Missoulian; Lewiston Tribune; Spokane Chronicle; Valley Dailey News; The Spokesman Review; The Olympian; The Seattle Times; The Post-Register; The Economist,"Osborn, John; Devlin, Sherry; Landers, Rich; Sonner, Scott; Malloy, Chuck; RRB; Swisher, Larry",John Osborn,forestry; owls; logging; presidents,"Spokane, WA",47.659856,-117.420405,transitions1990aug,Journal,Text,application/pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-10-28,2020-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/transitions/id/0,0,37.pdf,/transitions/image/37.pdf,transitions0
"Transitions, vol. 13, no. 2,  1999; 'Beetlemania'",Inland Empire Public Lands Council,"Osborn, John",1999,13,2,,1999,32,"Osborn, John--Beetlemania; Olsen, Ken--Forest Service expands beetle battle--The Spokesman Review, 1999-1-31(Spokane, WA); Hughes, John--Environmentalists: Phony beetlemania an excuse for logging--Post Register, 1999-3-28(Idaho Falls, ID); Hollander, Zaz--Forest Service declares beetle emergency--The Spokesman Review, 1999-4-10(Spokane, WA); Olsen, Ken--Emergency logging met with skepticism--The Spokesman Review, 1999-4-13(Spokane, WA); Olsen, Ken--Bark beetle plan greeted by skepticism--The Spokesman Review, 1999-3-10(Spokane, WA); Hirt, Paul--A Conspiracy Of Optimism--University of Nebraska Press, 1994; Olsen, Ken--Working out the bugs--The Spokesman Review, 1999-5-13(Spokane, WA); Olsen, Ken--Suit claims law broken over beetles--The Spokesman Review, 1999-6-20(Spokane, WA); Federal judge blocks Boise National Forest logging--Coeur d'Alene Press, 1998-10-24(Coeur d'Alene, ID); Olsen, Ken--Agency money in beetles--The Spokesman Review, 1999-4-3(Spokane, WA); Wolf, Robert E.--Red in the Forest: Loss to Taxpayers; Glienna, Fred--Big Timber the welfare queen has hungry maws to feed--The Spokesman Review, 1999-6-13(Spokane, WA); Jensen, Derrick--Claims to Virtue; Ingalsbee, Timothy--The Douglas Fir Beetle Project Deis; Fox, Joseph W.--Comments On Insect Outbreaks, Fuel Hazards, And Wildfire Risk--1999-3-10; Idaho's Panhandle Lives With a Deadly Legacy--Sierra Club, 1997-6-4; Gage, Charissa A.--Beetle project waste of money--The Spokesman Review, 1999-3-24(Spokane, WA); Bardelli, Frederick K.--Logging, desecrating, not the way--The Spokesman Review, 1999-3-10(Spokane, WA); Osborn, John--Time to End Commercial Logging in the National Forests--The Spokesman Review, 1997-8-28(Spokane, WA); Ramirez, Lisa--Forest Service's plan illogical--The Spokesman Review, 1999-3-31(Spokane, WA); Allen, Elizabeth--USFS knows right but does wrong--The Spokesman Review, 1999-2-26(Spokane, WA); Foster, J. Todd--Top forest boss tours Panhandle--The Spokesman Review, 1994-6-4(Spokane, WA); Landers, Rich--Hottest resource in forest is water--The Spokesman Review, 1999-7-4(Spokane, WA)",The Spokesman Review; Post Register; University of Nebraska Press; Coeur d'Alene Press; Sierra Club,"Osborn, John; Olsen, Ken; Hughes, John; Hollander, Zaz; Hirt, Paul; Wolf, Robert E.; Glienna, Fred; Jensen, Derrick; Ingalsbee, Timothy; Fox, Joseph W.; Gage, Charissa A.; Bardelli, Frederick K.; Ramirez, Lisa; Allen, Elizabeth; Foster, J. Todd; Landers, Rich",John Osborn,forests; conservation; beetles; logging,"Spokane, WA",47.659856,-117.420405,transitions1999v13n2,Journal,Text,application/pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Id",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-10-28,2020-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/transitions/id/1,1,19.pdf,/transitions/image/19.pdf,transitions1
"Transitions, vol. 13, no. 1,  1999; Cartooning the Salmon Crisis",Inland Empire Public Lands Council,"Osborn, John",1999,13,1,,1999,24,"Osborn, John--Saving the Salmon that saved Lewis & Clark; Mace, Sam--Salmon: A Call to Action--Washington & Idaho Wildlife Federations",Washington & Idaho Wildlife Federations,"Osborn, John; Mace, Sam",John Osborn,salmon; dams; rivers; conservation,"Spokane, WA",47.659856,-117.420405,transitions1999v13n1,Journal,Text,application/pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Id",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-10-28,2020-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/transitions/id/2,2,61.pdf,/transitions/image/61.pdf,transitions2
"Transitions, vol. 4, no. 10, October 1991; Salmon: The 'Parity' Promise and Fish Flows, Is a Northwest solution within our grasp?",Inland Empire Public Lands Council,"Osborn, John",1991-10,4,10,October,1991,24,"Osborn, John--Salmon: Is a Northwest solution within our grasp?; Barker, Rocky--Northwest must devise salmon plan--Post Register, 1991-9-29(Idaho Falls, ID); McCall, William--Portland council Oks salmon plan--Idaho Statesman, 1991-9-27(Boise, ID); Loftus, Bill--Critics by dozen assail salmon plan--Lewiston Tribune, 1991-10-1(Lewiston, ID); Jackson, Kristin--BPA celebrates 50 years of changing West--The Seattle Times / Seattle Post-Intelligencer, 1987-8-9(Seattle, WA); Dams had costs, too--The Oregonian, 1987-8-8(Portland, OR); You Cannot Juggle Salmon--The Oregonian, 1937-8-8(Portland, OR); Titone, Julie--Power panel flounders on salmon plan, New council chairman blames industry influence--The Spokesman-Review and Spokane Chronicle, 1991-10-27(Spokane, WA); Give Montana say on fish plan, Power council must weigh, not ignore, impact of Columbia River salmon plan on Montana species--The Oregonian, 1991-10-22(Portland, OR); Against the Current, An Interview with Ed Chaney, Wil Fish Advocate--Forest Watch: The Citizens' Forestry Magazine, 1991-9-13(Oak Grove, OR): Barker, Rocky--Control of Northwest's water future slipping into federal hands--Post Register, 1991-10-6(Idaho Falls, ID);  Sacrifice to save fish, Northwest governors must keep eye on large goal, instruct power council to discard parochial thinking--The Oregonian, 1991-9-4(Portland, OR)",Post Register; Idaho Statesman; Lewiston Tribune; The Seattle Times; Seattle Post-Intelligencer; The Oregonian; The Spokesman-Review; Spokane Chronicle; Forest Watch: The Citizens' Forestry Magazine; Post Register,"Osborn, John; Barker, Rocky; McCall, William; Loftus, Bill; Jackson, Kristin; Titone, Julie;",John Osborn,rivers; dams; salmon,"Spokane, WA",47.659856,-117.420405,transitions1991v4n10,Journal,Text,application/pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-10-28,2020-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/transitions/id/3,3,17.pdf,/transitions/image/17.pdf,transitions3
"Transitions, vol. 2, March 1989; The US Forest Service And The Public's Fish Rivers Of No Return? Losing tax dollars and losing priceless wildlands resources Recovering From Disaster: South Fork Salmon River",Inland Empire Public Lands Council,"Osborn, John",1989-03,2,,March,1989,16,"O, J--The US Forest Service And The Public's Fisheries, Rivers Of No Return? A Nation's Folly; Slocum, Ken-- Cutting Criticism, Forest Service's Sales Of Timber Below Cost Stir Increasing Debate, Small Timber Growers Join Environmentalist Groups In Seeking Revised Policy, Big Changes in the Industry--The Wall Street Journal, 1986-4-18(Federal Way, Washington); Payette Forest Projects Repair Damage to Roads; Lick Creek Route Unsafe--Idaho Statesman, 1965-4-23(Boise, ID); Newman, David--Forest Service plan a 'political snow job?', Some timber towns thrive on favoritism--Spokesman Review, 1987-11-18(Spokane, WA); Environmentalists question wisdom of paving road--Lewiston Morning Tribune, 1988-10-21(Lewiston, ID);",The Wall Street Journal; Idaho Statesman; The Spokesman Review; Lewiston Morning Tribune,"O, J; Slocum, Ken; Newman, David",John Osborn,rivers; roads; logging,"Spokane, WA",47.659856,-117.420405,transitions1989mar,Journal,Text,application/pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-10-28,2020-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/transitions/id/4,4,46.pdf,/transitions/image/46.pdf,transitions4
"Transitions, vol. 6, no. 3/4, March/April 1993; The U. S. Forest Service: A Public Trust Betrayed-Part 2",Inland Empire Public Lands Council,"Osborn, John",1993-03,6,3; 4,March; April,1993,24,"Osborn, John--Speaker Foley: What Fate for the Forest?; Mapes, Lynda V.--East Side forests 'require attention,' president states--The Spokesman Review, 1993-4-3(Spokane, WA); Folger, Sara--A Call To Action: Forest Service Proposes New Appeals Regulations; Crandall, Dave--'Protect Eastern Washington Forests, Too!'; Devlin, Sherry--Conservationists chafe at timber 'deal'--Missoulian, 1993-3-30(Missoula, MT); The Speaker's Rooms U. S. House of Representatives Washington, D.C. 20515--Office of the Speaker, 1993-3-30; Lynch, Jim--Foley told not to ignore East Side forests at summit--The Spokesman Review, 1993-3-28(Spokane, WA); Mapes, Lynda V.--Summit to steer fate of East Side forests--The Spokesman Review, 1993-4-2(Spokane, WA); Mack, Carol--Colville National Forest still being overcut--Newport Miner, 1992(Newport, WA); South Carolina Man Hits At Cannon--The Spokesman Review, 1907-1-30(Spokane, WA); Weber, James W.--Eastside logging will hurt fishery--The Oregonian, 1993-4-1(Portland, OR); Add salmon to summit talk--The Oregonian, 1993-3-27(Portland, OR); Durbin, Kathie--Environmentalists file anti-logging petition with Forest Service--The Oregonian, 1993-4-1(Portland, OR); Mapes, Lynda V.--Clinton wants timber plan in 60 days--The Spokesman Review, 1993-4-3(Spokane, WA); The best forest question;",The Spokesman Review; Missoulian; Office of the Speaker; Newport Miner; The Oregonian,"Osborn, John; Mapes, Lynda V.; Folger, Sara; Crandall, Dave; Devlin, Sherry; Lynch, Jim; Mack, Carol; Weber, James W.; Durbin, Kathie",John Osborn,forests; presidents; conservation; timber,"Spokane, WA",47.659856,-117.420405,transitions1993v6n3-4,Journal,Text,application/pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Id",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-10-28,2020-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/transitions/id/5,5,25.pdf,/transitions/image/25.pdf,transitions5
"Transitions, vol. 4, no. 3, March 1991; Controlling Corporate Cutting, 70 years of warnings from conservationists go unheeded. Battles over spotted owls and wilderness just symptoms, National policy on sustaining forests long overdue",Inland Empire Public Lands Council,"Osborn, John",1991-03,4,3,March,1991,24,"Osborn, John--Controlling Corporate Cutting; Timber lobby cuts down proposed regulations--The Spokesman Review, 1991-3-6(Spokane, WA); Future of forests--The Spokesman Review, 1989-9-28(Spokane, WA); Advice for securing state's forest future--The Seattle Times, 1990-8-16(Seattle, WA); Pinchot, In His Fighting Mood, Defies Corporate Interests And Delegates Cheer, Chief forester declares paid lawyers are at every convention. Says great water power trust is being formed to embrace nation--Spokane Daily Chronicle, 1909-8-10(Spokane, WA); Pinchot, Gifford--1919: Gifford Pinchot, Society of American Foresters, The lines are drawn--Journal of American Forestry, 1919-12; Wallace, H. A. and Tugwell, R. G.-- A national plan for American forestry, Letter from the Secretary of Agriculture--The Copeland Report, U.S. Senate, 1933-3-27; Wallace, K. A.--Order For 500 Big Bombers Planned, Wallace analyzes forest problems, urges Northwest to lock barn door 'before timber horse is stolen'-- Seattle Post-Intelligencer, 1940-8-25(Seattle, WA); Severson, Kim and Moore, Elizabeth--The Rush To Cut, Private forests losing ground to timber company saws--The Morning News Tribune, (Tacoma, WA); Gillie, John--Tax Breaks add to timber profits--The Morning News Tribune, 1990-3-27(Tacoma, WA); Moore, Elizabeth--Logging's environmental damage more serious than previously thought--The Morning News Tribune, 1990-5-28(Tacoma, WA); Deer Creek went from fisherman's dream to nightmare--The Morning News Tribune, 1990-5-28(Tacoma, WA); Excessive logging destroys more than views--The Morning News Tribune, 1990-5-28(Tacoma, WA)","The Spokesman Review; The Seattle Times; Spokane Daily Chronicle; Journal of American Forestry; The Copeland Report, U.S. Senate; Seattle Post-Intelligencer; The Morning News Tribune","Osborn, John; Pinchot, Gifford; Wallace, H. A.; Tugwell, R. G.; Wallace, K. A.; Severson, Kim; Moore, Elizabeth; Gillie, John; Moore, Elizabeth;",John Osborn,forestry; timber; lumber,"Spokane, WA",47.659856,-117.420405,transitions1991v4n3,Journal,Text,application/pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-10-28,2020-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/transitions/id/6,6,77.pdf,/transitions/image/77.pdf,transitions6
"Transitions, vol. 6, no. 7/8, July/August 1994; The Past and Future of the Columbia River Basin Part 6: 'Valley Of Death' A Campaign by the Coeur d'Alene Press, 1929-1930, Spokane River and Lake Coeur d'Alene Watershed, A Political Commitment for Clean-up",Inland Empire Public Lands Council,"Osborn, John",1994-07,6,7; 8,July; August,1994,64,"Osborn, John--'Valley Of Death'; Folger, Sara--Forest Watch, Log It: The Forest Service's Answer to Your Every Forest Problem; Congressman Foley Meets With Time Coleman--Press Release from office of Speaker Tom Foley; Foster, J. Todd--Forest to be logged despite opposition--The Spokesman Review, 1994-6-21(Spokane, WA); Lynch, Jim--Foley blocks plan to slow log exports--The Spokesman Review, 1994-7-15(Spokane, WA); Log exports sealed fate--Missoulian, 1994-2-27(Missoula, MT); Titone, Julie--Indians, state want $1 billion for basin cleanup--The Spokesman Review, 1994-7-21(Spokane, WA); Feds file suit over ownership of Lake CdA--The Spokesman Review, 1994-7-22(Spokane, WA); Rauve, Bekka--news on Bunker Hill cleanup good, bad--The Spokesman Review, 1994-6-6(Spokane, WA); Devlin, Sherry--Group accuses Forest Service of cooking timber-profit figures--Missoulian, 1994-7-6(Missoula, MT); Sonner, Scott--Conservation leaders charge Forest Service with exaggerating road moratorium effect--Lewiston Tribune, 1994-6-22(Lewiston, ID); Cain, Brad--Going home, Firefighters' bodies return to Prineville--The Spokesman Review, 1994-7-13(Spokane, WA); Mydans, Seth--Small town reels from tragedy--Idaho Statesman, 1994-7-9(Boise, ID); Ford, Pat--Jim Thrash: A solid man--High Country News, 1994-7-5(Paonia, CO); Eckart, Kim--400 say goodbye to smoke jumper--The Idaho Statesman, 1994-7-13(Boise, ID); Thrash, Jim--How to help; Foster, J. Todd--A fiery paradox--The Spokesman Review, 1994-7-17(Spokane, WA); Foster, J. Todd--Unique lab gets fired up doing research--The Spokesman Review, 1994-7-17(Spokane, WA); Webster, John--Professionals can't guarantee safety--The Spokesman Review, 1994-7-24(Spokane, WA); Hansen, Dan--Little change in fire prevention since firestorm--The Spokesman Review, 1994-7-12(Spokane, WA); Palmerton, Jack--Today Is The 20th Anniversary Of Great Fire That Cost 72 Lives--Coeur d'Alene Press, 1930-8-20(Coeur d'Alene, ID); Coe, J. K.--Up The River Of Muck And Into The 'Valley Of Death'--Coeur d'Alene Press, 1929-12-23(Coeur d'Alene, ID); Coeur d'Alene Lake Finding Fame Even In Sunny California--Coeur d'Alene Press, 1930-4-19(Coeur d'Alene, ID); Coe, John Knox--Valley Of Desolation Tells Its Own Story--Coeur d'Alene Press, 1929-12-26(Coeur d'Alene, ID); Coe, John Knox--Once A Fruitful 'Paradise' - Now the 'Valley of Death'--Coeur d'Alene Press, 1930-1-10(Coeur d'Alene, ID); Press Stand On Pollution Told To Waltonians--Coeur d'Alene Press, 1930-1-16(Coeur d'Alene, ID); Coe, John Knox--Once It Was Easy to Catch Mess of Trout--Coeur d'Alene Press, 1930-1-29(Coeur d'Alene, ID); Coe, John Knox--Pollution Of The CDA River Can Be Stopped--Coeur d'Alene Press, 1930-2-14(Coeur d'Alene, ID); Valley People Rap Pollution--Coeur d'Alene Press, 1930-3-17(Coeur d'Alene, ID); Mine Pollution Of River To Be Meeting Topic!--Coeur d'Alene Press, 1930-4-9(Coeur d'Alene, ID); Farmers Union Backs Press On Mine Pollution--Coeur d'Alene Press, 1930-4-14(Coeur d'Alene, ID); Kootenai Group Meeting Today With Mine Men--Coeur d'Alene Press, 1930-5-24(Coeur d'Alene, ID); Coe, John Knox--Lake Pollution Discussed With Mine Operators--Coeur d'Alene Press, 1930-5-26(Coeur d'Alene, ID); Kretchman, H. F.--How Do You Stand Mr. Candidate--Coeur d'Alene Press, 1930-7-29(Coeur d'Alene, ID); Taylor, E. T.--E. T. Taylor Says--Coeur d'Alene Press, 1930-8-1(Coeur d'Alene, ID); Keating, James W.--J. W. Keating Says--Coeur d'Alene Press, (Coeur d'Alene, ID); Reed, William T.--WM. T. Reed Says; Manigold, J. B.--J. B. Manifold Says; Roholt, C.--C. Roholt Says--Coeur d'Alene Press, (Coeur d'Alene, ID); Allman, O. E.--O. E. Allman Says--Coeur d'Alene Press, (Coeur d'Alene, ID); Taylor Talks On Pollution!--Coeur d'Alene Press, 1930-9-5(Coeur d'Alene, ID); Would Stop Pollution--Coeur d'Alene press, 1930-8-19(Coeur d'Alene, ID); Osborn, John--Epilogue",Press Release from office of Speaker Tom Foley; The Spokesman Review; Missoulian; Lewiston Tribune; Idaho Statesman; High Country News; Coeur d'Alene Press;,"Osborn, John; Folger, Sara; Foster, J. Todd; Lynch, Jim; Titone, Julie; Rauve, Bekka; Devlin, Sherry; Sonner, Scott; Cain, Brad; Mydans, Seth; Ford, Pat; Eckart, Kim; Thrash, Jim; Webster, John; Hansen, Dan; Palmerton, Jack; Coe, J. K.; Kretchman, H. F.; Taylor, E. T.; Keating, James W.; Reed, William T.; Manigold, J. B.; Roholt, C.; Allman, O. E.;",John Osborn,pollution; logging; exports; conservation; forests,"Spokane, WA",47.659856,-117.420405,transitions1994v6n7-8,Journal,Text,application/pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Id",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-10-28,2020-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/transitions/id/7,7,35.pdf,/transitions/image/35.pdf,transitions7
Transitions; Clearcutting Frenzy,Inland Empire Public Lands Council,"Osborn, John",1990,,,,1990,24,"Osborn, John--Clearcutting Frenzy, Public Policy on Log Exports and Corporate Forest Liquidation; Titone, Julie--Export ban support builds--The Spokesman Review, 1990-5-1(Spokane, WA); McNulty, Timothy J.--Bush is seeking trade compromises in talks with Kaifu--The Seattle Times, 1990-3-2(Seattle, WA); A tougher stand on wood exports--Seattle Post-Intelligencer, 1990-3-4(Seattle, WA); Schaefer, David--Export ban gaining favor as way to save mill jobs--The Seattle Times, 1990-4-7(Seattle, WA); Crutsinger, Martin--Japan off 'hit list'--Lewiston Tribune, 1990-4-28(Lewiston, ID); Sonner, Scott--Timber mills accuse Bush of selling out--Lewiston Tribune, 1990-4-28(Lewiston, ID); Kraul, Chris--Louisiana-Pacific Negotiating to Build Plant in Baja California--Los Angeles Times, 1989-9-14(Los Angeles, CA); Geniella, Mike--Baja timber plan sets off cry of protest--Santa Rosa Press-Democrat, 1989-9-16; Manning, Dick--Log exports continue to expand--Missoulian, 1989-2-26(Missoula, MT); Nielsen, Chris and Lochner, Rich--Environmentalists, loggers natural allies--The Oregonian, 1989-7-27(Portland, OR); Private timber falling rapidly--Ellensburg Daily Record, 1990-4-12(Ellensburg, WA); Egan, Timothy--Where Have All the Forests Gone?; Plum Creek Timber Company--For Us, Every Day Is Earth Day--The Spokesman Review, 1990-4-22(Spokane, WA); Ramsey, Bruce--Plum Creek Timber restructures to chop taxes--Seattle Post-Intelligencer, 1989-4-17(Seattle, WA); Woodruff, Steve--Plum Creek throws down gauntlet--Missoulian, 1989-5-28(Missoula, MT); JEA--Exports--Omak Chronicle, 1990-3-21(Omake, WA)",The Spokesman Review; The Seattle Times; Seattle Post-Intelligencer; Lewiston Tribune; Los Angeles Times; Santa Rosa Press-Democrat; Missoulian; The Oregonian; Ellensburg Daily Record; The Spokesman Review; Omak Chronicle,"Osborn, John; Titone, Julie; McNulty, Timothy J.; Schaefer, David; Crutsinger, Martin; Sonner, Scott; Kraul, Chris; Geniella, Mike; Manning, Dick; Nielsen, Chris; Lochner, Rich; Egan, Timothy; Ramsey, Bruce; Woodruff, Steve; JEA",John Osborn,forestry; logging; timber; exports; presidents,"Spokane, WA",47.659856,-117.420405,transitionsclearcuttingfrenzy,Journal,Text,application/pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Id",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-10-28,2020-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/transitions/id/8,8,6.pdf,/transitions/image/6.pdf,transitions8
"Transitions, vol. 11, no. 2, June 1998; Cleaning up the Coeur d'Alene",Inland Empire Public Lands Council,"Osborn, John",1998-06,11,2,June,1998,32,"Osborn, John--Cleaning up the Entire Coeur d'Alene; Drumheller, Susan--EPA to investigate entire CdA basin--The Spokesman Review, 1998-2-26(Spokane, WA); Clarke, Chuck--To The Citizens of the Coeur d'Alene Basin--United States Environmental Protection Agency, 1998-5-5(Seattle, WA); Washington welcomes Superfund probe--The Spokesman Review, 1998-6-10(Spokane, WA); Gregoire, Christine O. and Clarke, Owen F. Jr.--Washington Attorney General--1998-6-8; Murray, Patty--Dear Senators Craig and Kempthorne--United States Senate, 1998-3-12(Washington, D.C.); Murray seeks Washington voice in cleanup--The Spokesman Review, 1998-3-14(Spokane, WA); Gregoire, Christine O.--Dear Senators Murray and Gorton:--1998-6-9; Satchell, Michael--Taking back the land that once was so pure, A tribes victory, a huge Superfund cleanup--U.S. News & World Report, 1998-5-4; Shireman, Laura--CdA basin scoured for dead birds--The Spokesman Review, 1998-3-29(Spokane, WA); Cannata, Amy--Cleanup controversy--The Pacific Northwest Inlander, 1998-5-13(Spokane, WA); Olsen, Ken and Shireman, Laura--Don't expand Superfund, CdA leaders say--The Spokesman Review, 1998-6-9(Spokane, WA); Drumheller, Susan--Basin bill revived to give the state cleanup control--The Spokesman Review, 1998-2-27(Spokane, WA); Brady, J. Robb and Trillhaase, Marty--The insider's game--Post Register, 1998-5-8(Idaho Falls, ID); Fisher, Jim--In Coeur d'Alene, no pollution news is good news--Lewiston Tribune, 1998-3-9(Lewiston, ID); Olsen, Ken--Judy urges fight over EPA pollution study--The Spokesman Review, 1998-3-4(Spokane, WA); Shireman, Laura--Not all river residents opposed to EPA study--The Spokesman Review, 1998-6-2(Spokane, WA); Osebold, William R.--Laxity jeopardizes tourist income--The Spokesman Review, 1998-4-29(Spokane, WA); Curless, Erica--More metals in river basin get approval--The Spokesman Review, 1998-2-13(Spokane, WA); Drumheller, Susan--Proposal would let Hecla put more metals in river--The Spokesman Review, 1998-3-2(Spokane, WA); Conservation group raps Legislature for mining's exemption from water rules--Post Register, 1998-3-31(Idaho Falls, ID); Curless, Erica--EPA says cleanup won't hurt CdA basin economy--The Spokesman Review, 1998-3-2(Spokane, WA); Titone, Julie--Workers strip toxic tailings from flats--The Spokesman Review, 1998-4-28(Spokane, WA); Titone, Julie--Workers cleaning up--The Spokesman Review, 1998-4-28(Spokane, WA); Titone, Julie--Silver lining--The Spokesman Review, 1998-3-15(Spokane, WA); Brady, J. Robb--Doing his sponsors' bidding--Post Register, 1998-2-4(Idaho Falls, ID); Stacey, Carol Horning--Afraid of News?--Nickel's Worth, 1998-3-6(Coeur d'Alene, ID); Fisher, Jim--Idaho should be last on list to clean up CDA basin--Lewiston Tribune, 1998-3-30(Lewiston, ID); Nanni, Michele--Idaho officials must recognize scope of cleanup concern--The Spokesman Review, 1998-6-26(Spokane, WA)",The Spokesman Review; United States Environmental Protection Agency; United States Senate; U.S. News & World Report; The Pacific Northwest Inlander; Post Register; Lewiston Tribune; Nickel's Worth,"Osborn, John; Drumheller, Susan; Clarke, Chuck; Gregoire, Christine O.;  Clarke, Owen F. Jr.; Murray, Patty; Satchell, Michael; Shireman, Laura; Cannata, Amy; Olsen, Ken; Brady, J. Robb; Trillhaase, Marty; Fisher, Jim; Osebold, William R.; Curless, Erica; Titone, Julie; Stacey, Carol Horning; Nanni, Michele",John Osborn,politicians; pollution; lakes; mining; rivers; civil actions,"Spokane, WA",47.659856,-117.420405,transitions1998v11n2,Journal,Text,application/pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Id",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-10-28,2020-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/transitions/id/9,9,69.pdf,/transitions/image/69.pdf,transitions9
